,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
296,API3USDT,FLMUSDT,0.0,-5.11,-3.37,18.07,60
1713,DOTUSDT,ETCUSDT,0.02,-3.65,-3.37,0.29,57
1951,GLMRUSDT,SHIB1000USDT,0.0,-4.19,-3.37,39.21,51
607,BATUSDT,OMGUSDT,0.0,-5.16,-3.37,0.2,50
2148,ICPUSDT,XTZUSDT,0.0,-4.48,-3.37,3.9,50
1685,DGBUSDT,MINAUSDT,0.01,-4.05,-3.37,0.01,50
1561,CTCUSDT,ROSEUSDT,0.0,-5.88,-3.37,8.09,50
1542,CTCUSDT,FLOWUSDT,0.0,-4.76,-3.37,0.31,50
2426,LITUSDT,WAVESUSDT,0.0,-4.51,-3.37,0.31,49
1818,ETCUSDT,RNDRUSDT,0.0,-5.36,-3.37,41.01,49
1553,CTCUSDT,LUNA2USDT,0.0,-5.16,-3.37,0.23,49
2157,ILVUSDT,DOTUSDT,0.04,-3.4,-3.37,7.62,49
3052,SLPUSDT,CTKUSDT,0.0,-4.28,-3.37,0.0,49
2951,RNDRUSDT,LINAUSDT,0.0,-4.76,-3.37,79.02,47
3269,TLMUSDT,TRBUSDT,0.0,-7.94,-3.37,0.0,47
1320,CELUSDT,JSTUSDT,0.03,-3.55,-3.37,23.52,47
28,1INCHUSDT,DGBUSDT,0.01,-4.02,-3.37,75.48,46
80,AAVEUSDT,XNOUSDT,0.0,-5.15,-3.37,98.84,46
1695,DGBUSDT,TOMOUSDT,0.01,-4.04,-3.37,0.02,45
2291,KDAUSDT,BNBUSDT,0.01,-3.95,-3.37,0.0,45
1364,CHRUSDT,CTCUSDT,0.0,-4.8,-3.37,0.3,45
1855,FILUSDT,GLMRUSDT,0.0,-5.19,-3.37,12.12,45
2124,ICPUSDT,IMXUSDT,0.03,-3.58,-3.37,9.37,44
2939,RENUSDT,ZECUSDT,0.0,-5.19,-3.37,0.0,44
2418,LINKUSDT,RSRUSDT,0.0,-4.67,-3.37,1494.37,44
1570,CTCUSDT,WAVESUSDT,0.0,-5.52,-3.37,0.16,44
197,ALICEUSDT,NEOUSDT,0.0,-5.09,-3.37,0.18,44
2395,LINAUSDT,OGNUSDT,0.0,-4.12,-3.37,0.06,44
3027,SANDUSDT,DOTUSDT,0.01,-3.89,-3.37,0.1,43
1717,DOTUSDT,LINAUSDT,0.01,-3.82,-3.37,944.54,43
1720,DOTUSDT,RNDRUSDT,0.01,-3.8,-3.37,11.95,43
269,ANKRUSDT,SLPUSDT,0.02,-3.65,-3.37,8.45,43
2184,INJUSDT,1000BTTUSDT,0.02,-3.63,-3.37,2575.3,43
1858,FILUSDT,HOTUSDT,0.04,-3.39,-3.37,2787.05,43
356,AUDIOUSDT,CTCUSDT,0.0,-4.25,-3.37,0.4,43
2341,KDAUSDT,SLPUSDT,0.0,-5.21,-3.37,353.19,43
1938,GALUSDT,TLMUSDT,0.0,-4.78,-3.37,93.33,43
323,ARPAUSDT,CTCUSDT,0.02,-3.75,-3.37,0.07,43
1716,DOTUSDT,INJUSDT,0.01,-3.9,-3.37,3.31,43
2406,LINAUSDT,TRBUSDT,0.0,-5.02,-3.37,0.0,43
1529,CTCUSDT,CTSIUSDT,0.01,-3.93,-3.37,3.62,43
1530,CTCUSDT,DENTUSDT,0.01,-4.01,-3.37,550.35,43
1013,BTCUSDT,GLMRUSDT,0.0,-5.38,-3.37,46667.06,43
1531,CTCUSDT,DGBUSDT,0.01,-3.82,-3.37,54.22,43
2465,MINAUSDT,FLMUSDT,0.01,-4.0,-3.37,7.01,43
2952,RNDRUSDT,RSRUSDT,0.0,-5.03,-3.37,115.9,43
2958,RNDRUSDT,TRBUSDT,0.0,-5.16,-3.37,0.04,43
1572,CTCUSDT,XLMUSDT,0.0,-4.27,-3.37,4.18,43
843,BITUSDT,BNBUSDT,0.0,-5.07,-3.37,0.0,42
1590,CTSIUSDT,MINAUSDT,0.04,-3.4,-3.37,0.19,42
2247,JSTUSDT,1000XECUSDT,0.01,-3.93,-3.37,0.72,42
1534,CTCUSDT,DUSKUSDT,0.02,-3.66,-3.37,4.18,42
1976,GTCUSDT,MATICUSDT,0.0,-4.51,-3.37,1.91,42
819,BELUSDT,SUNUSDT,0.0,-4.53,-3.37,79.93,42
839,BICOUSDT,SUSHIUSDT,0.04,-3.44,-3.37,0.24,42
3368,UNFIUSDT,DGBUSDT,0.01,-3.89,-3.37,617.56,42
291,API3USDT,COMPUSDT,0.0,-4.5,-3.37,0.04,42
1639,DARUSDT,LINAUSDT,0.0,-4.65,-3.37,22.09,42
2469,MINAUSDT,KNCUSDT,0.02,-3.67,-3.37,0.92,42
2175,IMXUSDT,FXSUSDT,0.02,-3.75,-3.37,0.09,42
1719,DOTUSDT,OCEANUSDT,0.03,-3.51,-3.37,43.61,42
1701,DODOUSDT,RENUSDT,0.0,-4.18,-3.37,1.49,42
42,AAVEUSDT,BLZUSDT,0.0,-4.34,-3.37,1005.78,42
449,AXSUSDT,GLMRUSDT,0.0,-6.7,-3.37,19.79,42
2779,REEFUSDT,RNDRUSDT,0.01,-3.78,-3.37,0.01,41
231,ALPHAUSDT,TLMUSDT,0.0,-5.03,-3.37,5.73,41
2302,KDAUSDT,EGLDUSDT,0.04,-3.4,-3.37,0.02,41
2371,KSMUSDT,API3USDT,0.01,-3.79,-3.37,17.03,41
3296,TOMOUSDT,MINAUSDT,0.01,-3.84,-3.37,0.54,41
3972,ZILUSDT,ZRXUSDT,0.0,-4.67,-3.37,0.12,41
2155,ICXUSDT,XEMUSDT,0.03,-3.59,-3.37,4.83,41
2105,HOTUSDT,SHIB1000USDT,0.03,-3.49,-3.37,0.17,41
1663,DENTUSDT,MINAUSDT,0.01,-4.02,-3.37,0.0,41
1647,DARUSDT,RNDRUSDT,0.01,-3.83,-3.37,0.28,41
1605,CVXUSDT,DOTUSDT,0.01,-3.83,-3.37,0.69,41
2045,HNTUSDT,ILVUSDT,0.0,-4.95,-3.37,0.06,41
27,1INCHUSDT,CEEKUSDT,0.02,-3.7,-3.37,5.21,41
1269,CELUSDT,ANKRUSDT,0.02,-3.65,-3.37,23.12,41
781,BELUSDT,DGBUSDT,0.01,-4.06,-3.37,58.45,41
3744,XRPUSDT,KDAUSDT,0.0,-13.74,-3.37,0.43,41
1568,CTCUSDT,THETAUSDT,0.0,-4.98,-3.37,0.42,40
1812,ETCUSDT,ILVUSDT,0.0,-4.36,-3.37,0.45,40
224,ALPHAUSDT,OGNUSDT,0.0,-4.67,-3.37,0.85,40
840,BICOUSDT,SXPUSDT,0.02,-3.6,-3.37,1.19,40
1664,DENTUSDT,RUNEUSDT,0.0,-5.24,-3.37,0.0,40
376,AUDIOUSDT,SLPUSDT,0.01,-3.98,-3.37,58.89,40
1714,DOTUSDT,GRTUSDT,0.0,-4.38,-3.37,93.69,40
3233,SUNUSDT,XNOUSDT,0.0,-6.0,-3.37,0.01,40
384,AVAXUSDT,DOTUSDT,0.0,-4.78,-3.37,2.27,40
285,APEUSDT,SCUSDT,0.01,-4.09,-3.37,1249.54,40
2274,JSTUSDT,SLPUSDT,0.0,-4.42,-3.37,8.31,40
3698,XRPUSDT,CTCUSDT,0.0,-13.85,-3.37,1.01,40
3132,SUNUSDT,BTCUSDT,0.01,-4.06,-3.37,0.0,40
322,ARPAUSDT,CELRUSDT,0.03,-3.48,-3.37,2.39,40
2312,KDAUSDT,GLMRUSDT,0.0,-4.4,-3.37,2.49,40
1825,ETHUSDT,ILVUSDT,0.01,-3.85,-3.37,27.83,39
2697,OMGUSDT,NEOUSDT,0.0,-5.8,-3.37,0.17,39
399,AVAXUSDT,RNDRUSDT,0.0,-4.43,-3.37,27.08,39
1288,CELUSDT,DODOUSDT,0.01,-3.91,-3.37,4.24,39
1370,CHRUSDT,LUNA2USDT,0.01,-3.81,-3.37,0.07,39
1541,CTCUSDT,FLMUSDT,0.01,-3.99,-3.37,4.73,39
1543,CTCUSDT,FTMUSDT,0.01,-4.03,-3.37,2.07,39
2339,KDAUSDT,SHIB1000USDT,0.0,-4.86,-3.37,97.51,39
2568,MTLUSDT,ONTUSDT,0.0,-5.19,-3.37,3.99,39
1829,ETHUSDT,TRBUSDT,0.03,-3.53,-3.37,105.47,39
2496,MTLUSDT,1INCHUSDT,0.01,-4.01,-3.37,1.31,39
2477,MINAUSDT,RUNEUSDT,0.0,-4.43,-3.37,0.47,39
1931,GALAUSDT,REEFUSDT,0.0,-4.69,-3.37,8.9,39
1881,FILUSDT,SHIB1000USDT,0.0,-4.84,-3.37,475.2,39
2459,MATICUSDT,RNDRUSDT,0.0,-4.14,-3.37,1.85,39
1675,DGBUSDT,FLOWUSDT,0.04,-3.44,-3.37,0.01,39
2412,LINKUSDT,DOTUSDT,0.03,-3.48,-3.37,1.08,39
1688,DGBUSDT,ONTUSDT,0.01,-3.89,-3.37,0.04,39
366,AUDIOUSDT,IOTAUSDT,0.04,-3.47,-3.37,0.68,39
3854,YGGUSDT,COTIUSDT,0.0,-4.8,-3.37,3.04,39
3283,TOMOUSDT,FLMUSDT,0.04,-3.47,-3.37,3.78,39
3721,XRPUSDT,FLOWUSDT,0.0,-13.87,-3.37,0.31,39
1904,FLOWUSDT,HOTUSDT,0.0,-4.56,-3.37,776.79,38
902,BNBUSDT,GTCUSDT,0.0,-4.5,-3.37,161.24,38
2894,RENUSDT,PAXGUSDT,0.01,-4.08,-3.37,0.0,38
2050,HNTUSDT,KDAUSDT,0.0,-5.31,-3.37,2.77,38
216,ALPHAUSDT,DUSKUSDT,0.0,-4.85,-3.37,0.98,38
1546,CTCUSDT,HOTUSDT,0.0,-4.63,-3.37,240.88,38
594,BATUSDT,DGBUSDT,0.02,-3.62,-3.37,32.71,38
2253,JSTUSDT,ARPAUSDT,0.02,-3.63,-3.37,0.79,38
598,BATUSDT,FILUSDT,0.03,-3.5,-3.37,0.05,38
1958,GRTUSDT,MATICUSDT,0.0,-4.6,-3.37,0.07,38
1547,CTCUSDT,IOTXUSDT,0.0,-4.87,-3.37,15.34,38
196,ALICEUSDT,MINAUSDT,0.04,-3.4,-3.37,2.15,38
3375,UNFIUSDT,LITUSDT,0.02,-3.62,-3.37,6.04,38
1240,CELRUSDT,DGBUSDT,0.0,-4.73,-3.37,1.61,38
91,ADAUSDT,DODOUSDT,0.03,-3.56,-3.37,2.86,38
3121,SUNUSDT,AUDIOUSDT,0.01,-4.0,-3.37,0.03,38
1889,FILUSDT,XNOUSDT,0.01,-3.97,-3.37,7.31,38
3,1000BTTUSDT,DOTUSDT,0.02,-3.61,-3.37,0.0,38
1018,BTCUSDT,KDAUSDT,0.0,-4.55,-3.37,18764.09,37
1487,CROUSDT,LOOKSUSDT,0.01,-3.88,-3.37,0.51,37
2242,IOTXUSDT,LUNA2USDT,0.03,-3.51,-3.37,0.01,37
3865,YGGUSDT,DODOUSDT,0.0,-5.17,-3.37,1.9,37
23,1000XECUSDT,CEEKUSDT,0.04,-3.46,-3.37,0.29,37
937,BSVUSDT,KDAUSDT,0.0,-4.65,-3.37,43.81,37
2405,LINAUSDT,TLMUSDT,0.0,-5.59,-3.37,0.4,37
2417,LINKUSDT,RNDRUSDT,0.02,-3.74,-3.37,12.89,37
305,API3USDT,XLMUSDT,0.0,-4.81,-3.37,15.93,37
1549,CTCUSDT,KDAUSDT,0.01,-4.1,-3.37,0.42,37
2170,ILVUSDT,TRBUSDT,0.0,-4.12,-3.37,3.79,37
1454,CROUSDT,DODOUSDT,0.02,-3.68,-3.37,0.6,37
2573,MTLUSDT,QTUMUSDT,0.0,-5.02,-3.37,0.33,37
2161,ILVUSDT,LINAUSDT,0.01,-3.95,-3.37,7200.07,37
1563,CTCUSDT,RUNEUSDT,0.02,-3.62,-3.37,0.31,37
2736,OPUSDT,GLMRUSDT,0.02,-3.62,-3.37,2.53,37
1745,DUSKUSDT,TLMUSDT,0.0,-4.68,-3.37,5.86,37
383,AVAXUSDT,DOGEUSDT,0.0,-4.36,-3.37,153.59,37
3006,RUNEUSDT,SNXUSDT,0.01,-3.86,-3.37,0.69,37
1718,DOTUSDT,MATICUSDT,0.0,-4.43,-3.37,6.44,37
1710,DOGEUSDT,LUNA2USDT,0.01,-3.86,-3.37,0.05,37
1893,FLMUSDT,EOSUSDT,0.02,-3.67,-3.37,0.09,37
1901,FLMUSDT,XLMUSDT,0.0,-4.75,-3.37,0.88,37
1905,FLOWUSDT,LOOKSUSDT,0.03,-3.52,-3.37,8.93,37
1947,GLMRUSDT,LUNA2USDT,0.0,-4.84,-3.37,0.22,37
1661,DASHUSDT,TRXUSDT,0.02,-3.73,-3.37,676.27,37
1980,GTCUSDT,RNDRUSDT,0.0,-4.58,-3.37,3.55,37
213,ALPHAUSDT,AVAXUSDT,0.02,-3.65,-3.37,0.01,37
391,AVAXUSDT,INJUSDT,0.01,-4.08,-3.37,7.51,37
390,AVAXUSDT,ILVUSDT,0.01,-3.81,-3.37,0.3,37
179,ALICEUSDT,CTCUSDT,0.0,-4.13,-3.37,3.18,36
3706,XRPUSDT,DGBUSDT,0.0,-14.03,-3.37,54.8,36
2159,ILVUSDT,INJUSDT,0.01,-3.78,-3.37,25.25,36
3541,USDCUSDT,TRXUSDT,0.0,-12.84,-3.37,19.77,36
2722,ONEUSDT,SUNUSDT,0.03,-3.5,-3.37,2.77,36
2127,ICPUSDT,LINAUSDT,0.0,-4.73,-3.37,639.12,36
294,API3USDT,DUSKUSDT,0.02,-3.65,-3.37,15.94,36
2023,HNTUSDT,DOGEUSDT,0.0,-4.4,-3.37,29.09,36
1015,BTCUSDT,HOTUSDT,0.0,-4.52,-3.37,10732690.53,36
299,API3USDT,MINAUSDT,0.03,-3.48,-3.37,2.58,36
2484,MINAUSDT,XLMUSDT,0.01,-4.07,-3.37,6.18,36
2320,KDAUSDT,LRCUSDT,0.0,-4.72,-3.37,3.59,36
3364,UNFIUSDT,CTCUSDT,0.05,-3.37,-3.37,11.38,36
295,API3USDT,EOSUSDT,0.01,-3.91,-3.37,1.58,36
1500,CROUSDT,QNTUSDT,0.04,-3.43,-3.37,0.0,36
2240,IOTXUSDT,LITUSDT,0.01,-3.91,-3.37,0.03,36
2651,NEOUSDT,XNOUSDT,0.01,-3.83,-3.37,11.22,36
1988,HBARUSDT,JASMYUSDT,0.01,-3.96,-3.37,12.13,36
2223,IOTAUSDT,ALICEUSDT,0.01,-3.78,-3.37,0.18,36
1536,CTCUSDT,ENSUSDT,0.02,-3.65,-3.37,0.03,36
1631,CVXUSDT,TLMUSDT,0.0,-7.36,-3.37,259.62,36
1597,CTSIUSDT,XLMUSDT,0.04,-3.44,-3.37,1.15,36
1721,DOTUSDT,RSRUSDT,0.03,-3.57,-3.37,1385.25,36
49,AAVEUSDT,DGBUSDT,0.02,-3.7,-3.37,8487.18,36
1301,CELUSDT,FLOWUSDT,0.01,-3.84,-3.37,0.41,35
1235,CELRUSDT,AUDIOUSDT,0.04,-3.42,-3.37,0.08,35
3316,TRBUSDT,ETCUSDT,0.01,-3.94,-3.37,0.59,35
1801,EOSUSDT,GLMRUSDT,0.01,-3.8,-3.37,2.52,35
1262,CELUSDT,1INCHUSDT,0.01,-3.83,-3.37,0.94,35
2425,LINKUSDT,XLMUSDT,0.03,-3.5,-3.37,68.87,35
3282,TOMOUSDT,FILUSDT,0.02,-3.74,-3.37,0.07,35
1790,ENSUSDT,LOOKSUSDT,0.01,-3.91,-3.37,94.92,35
217,ALPHAUSDT,FLMUSDT,0.04,-3.46,-3.37,1.11,35
1616,CVXUSDT,INJUSDT,0.03,-3.48,-3.37,2.3,35
2388,LINAUSDT,LINKUSDT,0.02,-3.74,-3.37,0.0,35
3926,YGGUSDT,RSS3USDT,0.03,-3.55,-3.37,1.8,35
1389,COMPUSDT,FLMUSDT,0.02,-3.66,-3.37,496.63,35
3767,XRPUSDT,OPUSDT,0.0,-13.64,-3.37,0.42,35
367,AUDIOUSDT,KDAUSDT,0.01,-4.08,-3.37,0.17,35
2146,ICPUSDT,TRBUSDT,0.0,-4.34,-3.37,0.34,35
1486,CROUSDT,LITUSDT,0.03,-3.51,-3.37,0.1,35
1961,GRTUSDT,RNDRUSDT,0.01,-4.06,-3.37,0.13,35
1638,DARUSDT,DUSKUSDT,0.0,-4.81,-3.37,1.49,35
2166,ILVUSDT,RNDRUSDT,0.0,-5.4,-3.37,91.08,35
1544,CTCUSDT,GLMRUSDT,0.0,-4.66,-3.37,1.05,35
2007,HNTUSDT,BNBUSDT,0.0,-5.31,-3.37,0.01,35
2198,INJUSDT,LRCUSDT,0.01,-3.91,-3.37,6.98,35
2196,INJUSDT,LINAUSDT,0.0,-4.37,-3.37,285.05,35
1678,DGBUSDT,IOTAUSDT,0.0,-4.22,-3.37,0.03,35
2006,HNTUSDT,BITUSDT,0.0,-5.0,-3.37,8.14,35
3001,RUNEUSDT,LUNA2USDT,0.02,-3.69,-3.37,0.72,35
2664,OGNUSDT,DOTUSDT,0.01,-3.85,-3.37,0.02,35
3264,THETAUSDT,GLMRUSDT,0.04,-3.41,-3.37,2.49,35
214,ALPHAUSDT,CTCUSDT,0.01,-3.82,-3.37,0.23,35
3089,SLPUSDT,YGGUSDT,0.04,-3.45,-3.37,0.01,35
2700,OMGUSDT,XLMUSDT,0.03,-3.51,-3.37,12.72,35
3075,SLPUSDT,OMGUSDT,0.02,-3.76,-3.37,0.0,35
170,AKROUSDT,XMRUSDT,0.03,-3.53,-3.37,0.0,35
2967,ROSEUSDT,GLMRUSDT,0.0,-4.65,-3.37,0.13,35
767,BELUSDT,BATUSDT,0.0,-5.21,-3.37,1.79,35
2729,ONTUSDT,QTUMUSDT,0.02,-3.76,-3.37,0.08,35
965,BSWUSDT,BNBUSDT,0.03,-3.5,-3.37,0.0,35
825,BELUSDT,XLMUSDT,0.0,-4.44,-3.37,4.5,35
2061,HNTUSDT,MKRUSDT,0.01,-3.94,-3.37,0.0,34
2134,ICPUSDT,OGNUSDT,0.04,-3.4,-3.37,37.67,34
3018,RVNUSDT,RSRUSDT,0.01,-3.99,-3.37,5.22,34
3363,UNFIUSDT,CROUSDT,0.03,-3.5,-3.37,61.54,34
2111,ICPUSDT,DODOUSDT,0.0,-5.59,-3.37,33.4,34
2991,RUNEUSDT,ARPAUSDT,0.02,-3.7,-3.37,44.65,34
3929,YGGUSDT,SANDUSDT,0.03,-3.59,-3.37,0.38,34
255,ANKRUSDT,ICXUSDT,0.01,-3.79,-3.37,0.14,34
610,BATUSDT,SUNUSDT,0.05,-3.37,-3.37,44.74,34
3495,USDCUSDT,LRCUSDT,0.0,-12.83,-3.37,4.05,34
1365,CHRUSDT,FILUSDT,0.01,-4.06,-3.37,0.03,34
586,BATUSDT,BLZUSDT,0.01,-3.89,-3.37,3.88,34
2363,KNCUSDT,CTCUSDT,0.01,-3.8,-3.37,1.61,34
2857,RENUSDT,GMXUSDT,0.01,-3.99,-3.37,0.0,34
169,AKROUSDT,UNFIUSDT,0.0,-4.16,-3.37,0.0,34
1375,CHRUSDT,XLMUSDT,0.01,-3.88,-3.37,1.24,34
2257,JSTUSDT,CEEKUSDT,0.01,-3.94,-3.37,0.21,34
2733,OPUSDT,BNBUSDT,0.02,-3.65,-3.37,0.0,34
3458,USDCUSDT,FILUSDT,0.0,-12.85,-3.37,0.23,34
75,AAVEUSDT,SUNUSDT,0.0,-4.28,-3.37,11607.1,34
2289,KDAUSDT,AXSUSDT,0.02,-3.75,-3.37,0.13,34
3050,SLPUSDT,BSWUSDT,0.01,-3.83,-3.37,0.01,34
3210,SUNUSDT,SHIB1000USDT,0.0,-4.64,-3.37,0.55,34
3718,XRPUSDT,FILUSDT,0.0,-13.7,-3.37,0.09,34
3771,XRPUSDT,QTUMUSDT,0.0,-13.98,-3.37,0.18,34
524,BAKEUSDT,FILUSDT,0.04,-3.43,-3.37,0.04,34
3796,XRPUSDT,TOMOUSDT,0.0,-13.82,-3.37,1.27,34
1676,DGBUSDT,HBARUSDT,0.0,-4.26,-3.37,0.14,34
56,AAVEUSDT,FLMUSDT,0.03,-3.53,-3.37,741.1,34
3705,XRPUSDT,DENTUSDT,0.0,-13.94,-3.37,556.22,34
3733,XRPUSDT,HOTUSDT,0.0,-13.89,-3.37,243.36,34
1687,DGBUSDT,NEOUSDT,0.0,-4.88,-3.37,0.0,34
1225,CEEKUSDT,TRXUSDT,0.03,-3.55,-3.37,1.97,34
806,BELUSDT,NEOUSDT,0.0,-4.78,-3.37,0.06,34
2483,MINAUSDT,WOOUSDT,0.03,-3.59,-3.37,4.46,34
3953,YGGUSDT,XTZUSDT,0.0,-4.25,-3.37,0.22,34
2206,INJUSDT,RNDRUSDT,0.0,-4.34,-3.37,3.61,33
165,AKROUSDT,CEEKUSDT,0.0,-5.11,-3.37,0.03,33
2195,INJUSDT,KAVAUSDT,0.04,-3.4,-3.37,1.92,33
50,AAVEUSDT,DODOUSDT,0.0,-5.34,-3.37,505.16,33
47,AAVEUSDT,CTCUSDT,0.0,-4.31,-3.37,156.48,33
1959,GRTUSDT,OCEANUSDT,0.02,-3.67,-3.37,0.47,33
963,BSWUSDT,1000BTTUSDT,0.0,-4.31,-3.37,306.24,33
1803,EOSUSDT,LRCUSDT,0.01,-3.99,-3.37,3.64,33
1853,FILUSDT,FLOWUSDT,0.0,-5.64,-3.37,3.59,33
1800,EOSUSDT,FTMUSDT,0.02,-3.68,-3.37,4.98,33
1789,ENSUSDT,KDAUSDT,0.02,-3.65,-3.37,14.44,33
1722,DOTUSDT,UNIUSDT,0.03,-3.58,-3.37,0.98,33
1539,CTCUSDT,FILUSDT,0.0,-4.89,-3.37,0.09,33
3892,YGGUSDT,IMXUSDT,0.01,-3.97,-3.37,0.53,33
1787,ENSUSDT,FLOWUSDT,0.03,-3.51,-3.37,10.63,33
1761,EGLDUSDT,BITUSDT,0.02,-3.76,-3.37,142.79,33
1754,DYDXUSDT,NEARUSDT,0.0,-5.08,-3.37,1.2,33
2814,RENUSDT,BITUSDT,0.0,-5.74,-3.37,0.26,33
3271,TOMOUSDT,API3USDT,0.04,-3.47,-3.37,0.21,33
1870,FILUSDT,NEOUSDT,0.0,-4.88,-3.37,0.65,33
162,AKROUSDT,ARPAUSDT,0.0,-5.03,-3.37,0.1,33
1673,DGBUSDT,CTSIUSDT,0.05,-3.38,-3.37,0.07,33
3045,SHIB1000USDT,XLMUSDT,0.03,-3.55,-3.37,0.1,33
1991,HBARUSDT,MINAUSDT,0.03,-3.52,-3.37,0.09,33
3275,TOMOUSDT,BTCUSDT,0.03,-3.49,-3.37,0.0,33
2031,HNTUSDT,ETHUSDT,0.0,-4.78,-3.37,0.0,33
1626,CVXUSDT,RNDRUSDT,0.0,-4.2,-3.37,8.29,33
1935,GALUSDT,OCEANUSDT,0.01,-3.98,-3.37,10.88,33
1677,DGBUSDT,HOTUSDT,0.01,-3.92,-3.37,4.44,33
1611,CVXUSDT,GRTUSDT,0.0,-4.4,-3.37,65.02,33
1682,DGBUSDT,LITUSDT,0.0,-4.17,-3.37,0.01,33
3647,XNOUSDT,TOMOUSDT,0.01,-4.03,-3.37,1.98,33
1609,CVXUSDT,ETCUSDT,0.0,-4.18,-3.37,0.2,33
2119,ICPUSDT,FTMUSDT,0.03,-3.5,-3.37,21.39,33
2126,ICPUSDT,KDAUSDT,0.01,-3.89,-3.37,4.36,33
1903,FLOWUSDT,GLMRUSDT,0.04,-3.47,-3.37,3.38,33
1566,CTCUSDT,SHIB1000USDT,0.0,-5.07,-3.37,41.07,33
3242,SUSHIUSDT,SOLUSDT,0.01,-4.03,-3.37,0.09,33
2300,KDAUSDT,DUSKUSDT,0.0,-4.42,-3.37,9.92,33
2167,ILVUSDT,RSRUSDT,0.0,-4.16,-3.37,10559.78,33
2399,LINAUSDT,RVNUSDT,0.0,-4.75,-3.37,0.28,33
2467,MINAUSDT,HOTUSDT,0.01,-3.84,-3.37,356.74,33
1418,COTIUSDT,BSWUSDT,0.0,-4.49,-3.37,0.35,33
3277,TOMOUSDT,CTCUSDT,0.03,-3.56,-3.37,0.8,33
298,API3USDT,LINKUSDT,0.03,-3.56,-3.37,0.23,33
1374,CHRUSDT,TLMUSDT,0.04,-3.45,-3.37,7.27,33
2403,LINAUSDT,SOLUSDT,0.0,-4.5,-3.37,0.0,33
2351,KDAUSDT,XLMUSDT,0.04,-3.46,-3.37,9.91,33
1255,CELRUSDT,TOMOUSDT,0.0,-4.68,-3.37,0.04,33
1313,CELUSDT,ICPUSDT,0.0,-4.21,-3.37,0.13,33
1245,CELRUSDT,MTLUSDT,0.0,-5.15,-3.37,0.02,33
1242,CELRUSDT,IOTAUSDT,0.0,-4.75,-3.37,0.05,33
2394,LINAUSDT,OCEANUSDT,0.0,-4.11,-3.37,0.05,33
2382,LINAUSDT,AVAXUSDT,0.01,-3.83,-3.37,0.0,33
2500,MTLUSDT,AKROUSDT,0.01,-4.0,-3.37,251.86,33
2726,ONTUSDT,ARPAUSDT,0.02,-3.71,-3.37,6.43,33
2347,KDAUSDT,TOMOUSDT,0.01,-3.87,-3.37,2.97,33
636,BCHUSDT,BELUSDT,0.04,-3.38,-3.37,257.8,33
2654,OCEANUSDT,RNDRUSDT,0.0,-4.27,-3.37,0.27,33
259,ANKRUSDT,KDAUSDT,0.01,-3.97,-3.37,0.02,33
3279,TOMOUSDT,DENTUSDT,0.0,-4.55,-3.37,439.2,33
1023,BTCUSDT,LRCUSDT,0.0,-4.36,-3.37,67362.29,32
2414,LINKUSDT,LRCUSDT,0.0,-4.29,-3.37,24.94,32
2703,ONEUSDT,AXSUSDT,0.04,-3.41,-3.37,0.0,32
2331,KDAUSDT,OPUSDT,0.0,-4.48,-3.37,0.98,32
400,AVAXUSDT,RSRUSDT,0.0,-4.27,-3.37,3139.79,32
2981,RSRUSDT,SHIB1000USDT,0.02,-3.74,-3.37,0.45,32
3379,UNFIUSDT,QTUMUSDT,0.0,-4.8,-3.37,2.07,32
838,BICOUSDT,SOLUSDT,0.03,-3.49,-3.37,0.02,32
4,1000BTTUSDT,GTCUSDT,0.01,-3.79,-3.37,0.0,32
380,AUDIOUSDT,XNOUSDT,0.04,-3.39,-3.37,0.25,32
3970,ZILUSDT,ICXUSDT,0.01,-3.82,-3.37,0.14,32
2153,ICXUSDT,MTLUSDT,0.02,-3.64,-3.37,0.23,32
1562,CTCUSDT,RSRUSDT,0.01,-3.79,-3.37,90.58,32
3658,XRPUSDT,AKROUSDT,0.0,-13.75,-3.37,139.33,32
1653,DARUSDT,TRBUSDT,0.0,-4.77,-3.37,0.01,32
420,AXSUSDT,BNBUSDT,0.0,-7.16,-3.37,0.03,32
3766,XRPUSDT,ONTUSDT,0.0,-13.98,-3.37,2.21,32
505,BAKEUSDT,BLZUSDT,0.0,-4.67,-3.37,3.08,32
515,BAKEUSDT,DODOUSDT,0.0,-4.92,-3.37,1.55,32
225,ALPHAUSDT,ONEUSDT,0.01,-3.8,-3.37,6.26,32
3187,SUNUSDT,LUNA2USDT,0.02,-3.71,-3.37,0.0,32
3164,SUNUSDT,GLMRUSDT,0.0,-4.21,-3.37,0.01,32
3747,XRPUSDT,LDOUSDT,0.0,-14.06,-3.37,0.32,32
1042,BTCUSDT,XNOUSDT,0.0,-4.59,-3.37,28138.07,32
479,AXSUSDT,RNDRUSDT,0.0,-8.78,-3.37,14.76,32
1696,DGBUSDT,WAVESUSDT,0.0,-4.2,-3.37,0.0,32
835,BICOUSDT,LINAUSDT,0.0,-4.41,-3.37,48.78,32
465,AXSUSDT,LINKUSDT,0.0,-6.1,-3.37,1.14,32
2476,MINAUSDT,QNTUSDT,0.03,-3.53,-3.37,0.0,32
1907,FLOWUSDT,SUNUSDT,0.0,-4.22,-3.37,239.14,32
532,BAKEUSDT,ICPUSDT,0.0,-4.37,-3.37,0.05,32
